  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  8.1500e-13           99.77160875    145899561.29021925        2274.95698186                  -nan                  -nan 
  8.2000e-13           99.53636549     52575189.96368060        2269.59304820                  -nan                  -nan 
  8.2500e-13           99.29634768     26785077.41032336        2264.12024679                  -nan                  -nan 
  8.3000e-13           99.05395837     44394650.13588322        2258.59337151                  -nan                  -nan 
  8.3500e-13           98.81438787     48920596.85750351        2253.13076963                  -nan                  -nan 
  8.4000e-13           98.58042596     99841331.50920239        2247.79605270                  -nan                  -nan 
  8.4500e-13           98.35924710     47265490.83402531        2242.75281058                  -nan                  -nan 
  8.5000e-13           98.15077812            0.00000000        2237.99937443                  -nan                  -nan 
  8.5500e-13           97.95611074            0.00000000        2233.56063765                  -nan                  -nan 
  8.6000e-13           97.77808469            0.00000000        2229.50135040                  -nan                  -nan 
  8.6500e-13           97.61951263            0.00000000        2225.88564639                  -nan                  -nan 
  8.7000e-13           97.48321955            0.00000000        2222.77793981                  -nan                  -nan 
  8.7500e-13           97.37199807     26645073.59459255        2220.24190670                  -nan                  -nan 
  8.8000e-13           97.28906348            0.00000000        2218.35086147                  -nan                  -nan 
  8.8500e-13           97.23593336            0.00000000        2217.13940730                  -nan                  -nan 
  8.9000e-13           97.21403968     50761698.24192408        2216.64019533                  -nan                  -nan 
  8.9500e-13           97.22311588            0.00000000        2216.84714765                  -nan                  -nan 
  9.0000e-13           97.26306066            0.00000000        2217.75795453                  -nan                  -nan 
  9.0500e-13           97.33200724     31399035.52522333        2219.33005000                  -nan                  -nan 
  9.1000e-13           97.42757435    134108345.84832451        2221.50913750                  -nan                  -nan 
  9.1500e-13           97.54394799     46993105.59797427        2224.16264819                  -nan                  -nan 
  9.2000e-13           97.68010371            0.00000000        2227.26722280                  -nan                  -nan 
  9.2500e-13           97.83010423            0.00000000        2230.68748176                  -nan                  -nan 
  9.3000e-13           97.98964495     42377817.22695345        2234.32527282                  -nan                  -nan 
  9.3500e-13           98.15601336     46175612.27357859        2238.11874653                  -nan                  -nan 
  9.4000e-13           98.32458173     56844353.03844224        2241.96238289                  -nan                  -nan 
  9.4500e-13           98.49288488    131755971.20858440        2245.79997201                  -nan                  -nan 
  9.5000e-13           98.65158718     61568287.06432266        2249.41864578                  -nan                  -nan 
  9.5500e-13           98.80114201     41643130.79507562        2252.82874216                  -nan                  -nan 
  9.6000e-13           98.93896752     73259641.78394963        2255.97139073                  -nan                  -nan 
  9.6500e-13           99.05403978            0.00000000        2258.59522784                  -nan                  -nan 
  9.7000e-13           99.15223552     59873855.60276441        2260.83425230                  -nan                  -nan 
  9.7500e-13           99.22818458     65545500.69835027        2262.56601593                  -nan                  -nan 
  9.8000e-13           99.28729817    133043291.21244319        2263.91390326                  -nan                  -nan 
  9.8500e-13           99.33267685     67949306.32187505        2264.94861178                  -nan                  -nan 
  9.9000e-13           99.35825602            0.00000000        2265.53185893                  -nan                  -nan 
  9.9500e-13           99.36543759    118461652.35064137        2265.69561064                  -nan                  -nan 
  1.0000e-12           99.35960474            0.00000000        2265.56261202                  -nan                  -nan 
